time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
6.4,"(0.12139, 0.0666002, 1.76113e-06)","(-0.252937, 0.966588, -0.0415978)","(0.0724699, -0.996273, 0.046775)","(0.144075, -0.98945, 0.0152094)","(0.313921, -0.576358, 0.754497)","(-0.175344, -0.669231, 0.722069)","(-0.072319, -0.982908, 0.169298)","(0.0534188, -0.979002, 0.196725)","(0.0574675, -0.996475, -0.0611181)","(0.229524, -0.973092, -0.0202546)",0
6.43333,"(0.122354, 0.0732656, 1.0415e-06)","(-0.27644, 0.959845, 0.0477375)","(0.0746052, -0.99702, -0.0196343)","(0.102057, -0.994771, 0.00376704)","(0.320762, -0.605365, 0.728454)","(-0.125963, -0.709683, 0.693169)","(-0.141382, -0.980881, 0.133728)","(0.0424774, -0.984059, 0.172697)","(-0.0706667, -0.991508, -0.109173)","(0.266246, -0.959269, -0.0944244)",0
6.46667,"(0.125006, 0.0763227, 1.31357e-05)","(-0.286746, 0.953263, 0.0952183)","(0.101754, -0.99039, -0.0936703)","(0.0944448, -0.99553, 0.000978797)","(0.384519, -0.663482, 0.641823)","(-0.150995, -0.80971, 0.567071)","(-0.224711, -0.968234, 0.109671)","(-3.04515e-05, -0.987389, 0.158314)","(-0.208851, -0.965865, -0.153251)","(0.301063, -0.943813, -0.136305)",0
6.5,"(0.125006, 0.0763227, 1.31357e-05)","(-0.291869, 0.940786, 0.172436)","(0.170211, -0.981937, -0.0826359)","(0.128833, -0.991543, -0.0156348)","(0.417267, -0.661842, 0.622779)","(-0.0217285, -0.818464, 0.574146)","(-0.252712, -0.964718, 0.0738583)","(0.0537476, -0.989797, 0.131956)","(-0.218424, -0.953024, -0.209849)","(0.353319, -0.92114, -0.163299)",0
6.53333,"(0.111358, 0.0903273, 2.61595e-06)","(-0.297076, 0.948023, 0.11401)","(0.0906585, -0.990209, 0.106152)","(0.348998, -0.920889, 0.173676)","(0.294299, -0.515391, 0.804835)","(0.0438302, -0.656602, 0.752962)","(-0.066009, -0.990843, 0.117786)","(0.109862, -0.980952, 0.160198)","(-0.0222412, -0.966808, -0.254534)","(0.387664, -0.895554, -0.218404)",1
6.56667,"(0.0978471, 0.0979718, -5.03608e-06)","(-0.178819, 0.92676, 0.330362)","(-0.265545, -0.961552, -0.0700218)","(0.427388, -0.901059, -0.0737074)","(0.11774, -0.803202, 0.583955)","(0.283332, -0.712918, 0.64146)","(0.13731, -0.96375, 0.22876)","(-0.0715441, -0.942574, 0.326244)","(0.0288596, -0.798285, -0.601588)","(0.454427, -0.767329, -0.452439)",0
6.6,"(0.0855872, 0.0905941, -9.04412e-06)","(-0.0722594, 0.895232, 0.439702)","(-0.588653, -0.782767, -0.201897)","(0.53583, -0.843167, -0.0442159)","(-0.174134, -0.889922, 0.421565)","(0.201805, -0.705347, 0.679529)","(0.175271, -0.919383, 0.352156)","(-0.250147, -0.822056, 0.511518)","(0.195603, -0.602177, -0.77403)","(0.310893, -0.654086, -0.689577)",0
6.63333,"(0.0709362, 0.0783241, -1.97516e-05)","(0.0225754, 0.825795, 0.563518)","(-0.684102, -0.646634, -0.337444)","(0.448533, -0.890074, -0.0811575)","(-0.223493, -0.926686, 0.302166)","(0.236459, -0.814461, 0.529849)","(0.0151849, -0.914478, 0.404351)","(-0.376156, -0.705473, 0.600679)","(0.136346, -0.41136, -0.901217)","(0.204365, -0.501041, -0.840948)",0
6.66667,"(0.0557641, 0.0559674, -1.84309e-05)","(-0.0281597, 0.909889, 0.413896)","(-0.54017, -0.828417, -0.148126)","(0.466917, -0.844941, 0.260889)","(-0.137855, -0.643265, 0.753131)","(0.107574, -0.684965, 0.72059)","(-0.132358, -0.936969, 0.323372)","(-0.307487, -0.788916, 0.532037)","(0.225044, -0.551202, -0.80345)","(0.116325, -0.578691, -0.807208)",0
6.7,"(0.0557469, 0.0230407, -1.27563e-06)","(-0.0532288, 0.955522, 0.290078)","(-0.474271, -0.873979, 0.105964)","(0.440271, -0.807452, 0.392662)","(-0.0818389, -0.339893, 0.936896)","(0.0941377, -0.51464, 0.852223)","(-0.110083, -0.954677, 0.276539)","(-0.344121, -0.855955, 0.385903)","(0.189601, -0.541801, -0.818843)","(0.145673, -0.593394, -0.79162)",0
