time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.23333,"(-0.00381365, 0.00389513, -7.14603e-06)","(0.00413483, 0.979459, 0.201603)","(-0.152895, -0.971026, -0.18366)","(-0.0346682, -0.976092, -0.214575)","(-0.152212, -0.930001, 0.334559)","(0.0840798, -0.924745, 0.371185)","(0.128572, -0.988729, 0.0767124)","(-0.183675, -0.982478, 0.0316263)","(0.168846, -0.919376, -0.355301)","(-0.250369, -0.819525, -0.515454)",0
1.26667,"(-0.0029735, 0.00614915, -6.98779e-06)","(-0.0116903, 0.97353, 0.228261)","(-0.137154, -0.969685, -0.202237)","(-0.017246, -0.97649, -0.214871)","(-0.125302, -0.931886, 0.340422)","(0.100088, -0.92985, 0.354064)","(0.153457, -0.986742, 0.0528261)","(-0.19181, -0.981432, -0.00043871)","(0.184414, -0.924134, -0.334615)","(-0.239394, -0.788787, -0.566132)",0
1.3,"(-0.00251185, 0.0040924, -8.915e-06)","(-0.0244349, 0.969872, 0.242387)","(-0.143813, -0.965779, -0.215844)","(-0.00740842, -0.978282, -0.207144)","(-0.0796982, -0.93478, 0.34617)","(0.113536, -0.926532, 0.358675)","(0.166727, -0.985915, 0.0131531)","(-0.194409, -0.980755, -0.0180356)","(0.195585, -0.918172, -0.344539)","(-0.235417, -0.75545, -0.611452)",0
1.33333,"(-0.00234252, -0.00044837, -1.02753e-05)","(-0.0312934, 0.970375, 0.239567)","(-0.152468, -0.961707, -0.227756)","(-0.00261556, -0.98058, -0.1961)","(-0.0345737, -0.934336, 0.354713)","(0.125742, -0.922748, 0.364316)","(0.175188, -0.984121, -0.028539)","(-0.195739, -0.980654, -0.00202307)","(0.190964, -0.903574, -0.383519)","(-0.232208, -0.756245, -0.611697)",0
1.36667,"(-0.00259269, -0.00560763, -1.19817e-05)","(-0.0351677, 0.972908, 0.228504)","(-0.163831, -0.95871, -0.232455)","(0.00485309, -0.981131, -0.193281)","(0.0117268, -0.935169, 0.354009)","(0.140205, -0.919755, 0.366597)","(0.180073, -0.982736, -0.0424715)","(-0.193526, -0.981045, -0.00990313)","(0.193813, -0.897061, -0.397138)","(-0.216226, -0.769793, -0.600555)",0
1.4,"(-0.00313538, -0.0106247, -1.28113e-05)","(-0.0373801, 0.975193, 0.218175)","(-0.166283, -0.9589, -0.229915)","(0.0106315, -0.98082, -0.194624)","(0.049308, -0.935657, 0.349449)","(0.154899, -0.916158, 0.369677)","(0.182181, -0.98218, -0.0461825)","(-0.186475, -0.981124, -0.0512116)","(0.195259, -0.899822, -0.390122)","(-0.183888, -0.769507, -0.611591)",0
1.43333,"(-0.00393597, -0.0152434, -1.2339e-05)","(-0.0382689, 0.97361, 0.224987)","(-0.165538, -0.961355, -0.219986)","(0.0156007, -0.979076, -0.202896)","(0.0973302, -0.937131, 0.335131)","(0.159068, -0.913208, 0.375165)","(0.182896, -0.982069, -0.0457091)","(-0.151777, -0.982363, -0.10921)","(0.209085, -0.905422, -0.369451)","(-0.119363, -0.692805, -0.711178)",0
1.46667,"(-0.00500904, -0.0178044, -1.03051e-05)","(-0.0389376, 0.969563, 0.241726)","(-0.157928, -0.962706, -0.219671)","(0.0192794, -0.978609, -0.204824)","(0.13279, -0.936572, 0.324344)","(0.151805, -0.911603, 0.382014)","(0.184314, -0.982799, -0.011562)","(-0.0873701, -0.98806, -0.126899)","(0.214329, -0.897301, -0.385894)","(-0.0809307, -0.574339, -0.814607)",0
1.5,"(-0.00500904, -0.0178044, -1.03051e-05)","(-0.0400115, 0.964102, 0.2625)","(-0.145915, -0.964636, -0.219512)","(0.0213762, -0.980644, -0.194627)","(0.145343, -0.939143, 0.311263)","(0.139746, -0.911064, 0.387858)","(0.181623, -0.98278, 0.0340027)","(-0.0341241, -0.995305, -0.0905739)","(0.230771, -0.881442, -0.412074)","(-0.0289844, -0.41615, -0.908834)",0
1.53333,"(-0.00742176, -0.0181546, -4.94267e-06)","(-0.0404715, 0.959416, 0.279075)","(-0.136518, -0.965624, -0.221208)","(0.0288055, -0.983391, -0.179201)","(0.122942, -0.947054, 0.296603)","(0.129167, -0.909059, 0.396142)","(0.179209, -0.980788, 0.0770654)","(0.0127439, -0.997971, -0.0623844)","(0.245888, -0.869072, -0.429247)","(-0.0145159, -0.349648, -0.936769)",0
1.56667,"(-0.00861354, -0.0156292, -2.46593e-06)","(-0.0406474, 0.953801, 0.297676)","(-0.131395, -0.969426, -0.20724)","(0.034848, -0.985275, -0.167388)","(0.0738217, -0.960307, 0.268999)","(0.126585, -0.904865, 0.406443)","(0.17581, -0.980304, 0.0899728)","(0.0151041, -0.994143, -0.107011)","(0.26009, -0.875779, -0.40665)","(0.0413443, -0.297378, -0.953864)",0
1.6,"(-0.0099932, -0.010769, -5.03706e-07)","(-0.0395082, 0.945148, 0.324245)","(-0.130129, -0.971478, -0.198233)","(0.0457232, -0.986024, -0.160205)","(0.0150432, -0.970963, 0.238755)","(0.131723, -0.900208, 0.41506)","(0.177054, -0.980112, 0.0896233)","(0.0159926, -0.983477, -0.180325)","(0.263276, -0.890023, -0.372216)","(0.091157, -0.284648, -0.954288)",0
1.63333,"(-0.0115587, -0.00455307, 1.27687e-06)","(-0.0376202, 0.934178, 0.354819)","(-0.129482, -0.973378, -0.189127)","(0.0622376, -0.986252, -0.153078)","(-0.0380959, -0.975368, 0.21727)","(0.149393, -0.896886, 0.416265)","(0.18122, -0.980259, 0.0790609)","(-0.029896, -0.981134, -0.191005)","(0.263552, -0.903053, -0.33917)","(0.171695, -0.246762, -0.953745)",0
1.66667,"(-0.0128248, 0.00201226, 1.7195e-06)","(-0.0352311, 0.928513, 0.369626)","(-0.130901, -0.972561, -0.19233)","(0.0817808, -0.987368, -0.135708)","(-0.0696699, -0.973847, 0.216258)","(0.159583, -0.893591, 0.419558)","(0.186468, -0.981403, 0.045589)","(-0.093471, -0.993806, 0.0601051)","(0.261431, -0.900569, -0.347316)","(0.256592, -0.313638, -0.914216)",0
1.7,"(-0.0139561, 0.00914365, -9.45362e-07)","(-0.0367819, 0.932135, 0.360238)","(-0.137416, -0.969403, -0.203406)","(0.10218, -0.986884, -0.12498)","(-0.0966912, -0.965828, 0.240473)","(0.160478, -0.887805, 0.431334)","(0.173869, -0.984767, 0.00199448)","(-0.170969, -0.925184, 0.338827)","(0.275685, -0.75854, -0.590437)","(0.2959, -0.537748, -0.789474)",0
