time,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r
1.803222,"(-0.185527, 0.966664, 0.176464)","(0.567723, -0.578095, 0.586085)","(0.720467, -0.670796, -0.175953)","(0.983673, 0.134569, 0.119489)","(0.553907, -0.296277, 0.778079)","(-0.142027, -0.892485, 0.428134)","(0.042863, -0.928425, 0.369039)","(-0.126581, -0.826621, -0.548339)","(0.027456, -0.934744, -0.354259)"
1.838966,"(-0.198299, 0.960121, 0.19709)","(0.401525, -0.656093, 0.638998)","(0.742779, -0.659272, -0.116791)","(0.972998, 0.163354, 0.163064)","(0.482761, -0.270166, 0.833038)","(-0.096281, -0.89698, 0.43146)","(0.025779, -0.910457, 0.412801)","(-0.171437, -0.811322, -0.558897)","(0.061924, -0.921118, -0.384327)"
1.874444,"(-0.208624, 0.954563, 0.212803)","(0.203539, -0.735933, 0.645736)","(0.763586, -0.642713, -0.062109)","(0.95553, 0.220425, 0.195898)","(0.412368, -0.201861, 0.888372)","(-0.047171, -0.894881, 0.443805)","(0.001668, -0.886381, 0.462954)","(-0.214181, -0.788895, -0.575996)","(0.108589, -0.897954, -0.426482)"
1.910039,"(-0.21656, 0.950068, 0.224661)","(-0.00806, -0.807814, 0.589382)","(0.774603, -0.632443, 0.002506)","(0.922769, 0.282557, 0.262029)","(0.33139, -0.092499, 0.938949)","(0.000527, -0.889326, 0.457274)","(-0.02514, -0.861966, 0.506343)","(-0.252862, -0.765446, -0.591737)","(0.159592, -0.869419, -0.467591)"
1.945441,"(-0.222274, 0.946587, 0.233597)","(-0.215683, -0.871612, 0.440197)","(0.762824, -0.641205, 0.083403)","(0.859225, 0.330165, 0.390799)","(0.242047, 0.055716, 0.968664)","(0.042444, -0.883579, 0.466356)","(-0.045717, -0.841757, 0.537918)","(-0.282413, -0.748112, -0.600476)","(0.205035, -0.84121, -0.500326)"
1.98114,"(-0.225632, 0.944216, 0.239889)","(-0.387557, -0.900361, 0.197862)","(0.71586, -0.681257, 0.153082)","(0.74577, 0.316824, 0.586046)","(0.161103, 0.233316, 0.958963)","(0.074958, -0.880381, 0.468306)","(-0.051293, -0.829682, 0.555875)","(-0.295013, -0.742524, -0.601353)","(0.239172, -0.819795, -0.52032)"
2.016112,"(-0.22669, 0.942914, 0.243977)","(-0.492886, -0.865661, -0.087714)","(0.628184, -0.736518, 0.250849)","(0.55895, 0.201861, 0.804256)","(0.096934, 0.405755, 0.908827)","(0.102209, -0.877793, 0.46801)","(-0.038095, -0.825859, 0.562588)","(-0.283001, -0.746761, -0.601879)","(0.267601, -0.806565, -0.527107)"
2.033567,"(-0.226341, 0.942651, 0.245314)","(-0.508555, -0.831493, -0.223588)","(0.573666, -0.759562, 0.306552)","(0.434203, 0.111681, 0.893865)","(0.065075, 0.474391, 0.877906)","(0.112399, -0.878148, 0.464997)","(-0.027582, -0.826244, 0.562636)","(-0.270562, -0.75344, -0.59927)","(0.278435, -0.802918, -0.527064)"
2.069196,"(-0.224255, 0.942755, 0.246827)","(-0.486247, -0.750702, -0.447224)","(0.458187, -0.790908, 0.405623)","(0.157001, -0.087854, 0.983683)","(-0.001788, 0.56905, 0.822301)","(0.125579, -0.883341, 0.451596)","(-0.011481, -0.825671, 0.564035)","(-0.237627, -0.774467, -0.586288)","(0.284651, -0.797784, -0.531521)"
2.104712,"(-0.219717, 0.943835, 0.24678)","(-0.426066, -0.687027, -0.588611)","(0.350325, -0.803663, 0.481039)","(-0.109164, -0.299686, 0.947772)","(-0.104319, 0.598674, 0.794171)","(0.125356, -0.896858, 0.424185)","(-0.001513, -0.825775, 0.563997)","(-0.192109, -0.806356, -0.55936)","(0.266713, -0.799274, -0.538539)"
