time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
5.6,"(-0.00708357, 0.00121014, -5.32218e-06)","(-0.00334522, 0.949315, 0.314308)","(-0.193958, -0.93369, 0.301005)","(0.379089, -0.898776, -0.220211)","(0.509687, 0.0986511, 0.854685)","(-0.107178, -0.93708, 0.332255)","(0.0848017, -0.979191, -0.184376)","(-0.0862581, -0.996269, -0.00285783)","(0.10042, -0.821086, -0.561902)","(0.032475, -0.799694, -0.599528)",0
5.64,"(-0.00721098, 0.00554383, -2.61704e-06)","(-0.0101495, 0.952706, 0.303724)","(-0.117976, -0.924083, 0.363528)","(0.418535, -0.847485, -0.326492)","(0.453078, 0.265799, 0.850924)","(0.0375851, -0.987769, 0.151329)","(0.0832581, -0.983179, -0.162563)","(-0.0768289, -0.989617, 0.121469)","(0.0976716, -0.828584, -0.551279)","(0.0518078, -0.742426, -0.667922)",0
5.68,"(-0.00704279, 0.0117855, 3.22802e-06)","(-0.0117939, 0.957274, 0.28894)","(-0.0670303, -0.914616, 0.398729)","(0.451968, -0.80442, -0.38553)","(0.395413, 0.339676, 0.853387)","(0.140703, -0.988338, 0.0582361)","(0.0861599, -0.987544, -0.131652)","(-0.0721624, -0.976624, 0.202481)","(0.0904952, -0.844993, -0.527064)","(0.0801826, -0.703701, -0.705957)",0
5.7,"(-0.00653001, 0.0183995, 8.77069e-06)","(-0.0151144, 0.963099, 0.268723)","(-0.0525479, -0.908801, 0.413908)","(0.475883, -0.779446, -0.407431)","(0.357702, 0.376541, 0.854556)","(0.194566, -0.979851, 0.0451296)","(0.0910707, -0.992581, -0.0805493)","(-0.083302, -0.965817, 0.245476)","(0.0813978, -0.870626, -0.485164)","(0.100413, -0.661528, -0.743167)",0
5.74,"(-0.00588001, 0.0239129, 1.15253e-05)","(-0.0215439, 0.9703, 0.240944)","(-0.0510763, -0.905283, 0.421728)","(0.500207, -0.766703, -0.402442)","(0.346475, 0.380464, 0.857439)","(0.207904, -0.975706, 0.0690962)","(0.0881784, -0.994747, -0.0519833)","(-0.113939, -0.945271, 0.305745)","(0.0675062, -0.885507, -0.459695)","(0.135459, -0.642822, -0.753944)",0
5.78,"(-0.00507742, 0.0270529, 1.2467e-05)","(-0.028555, 0.975372, 0.218708)","(-0.0668194, -0.900901, 0.428849)","(0.519049, -0.753973, -0.402634)","(0.345296, 0.380302, 0.857987)","(0.212877, -0.973654, 0.0817334)","(0.082162, -0.996211, -0.0285051)","(-0.142352, -0.904709, 0.401544)","(0.0541348, -0.896467, -0.43979)","(0.163136, -0.612086, -0.773781)",0
5.8,"(-0.00413693, 0.0290871, 1.22086e-05)","(-0.0335181, 0.978975, 0.201208)","(-0.100933, -0.897707, 0.428877)","(0.535498, -0.746319, -0.395285)","(0.35601, 0.355821, 0.864088)","(0.19827, -0.974169, 0.108088)","(0.076951, -0.996904, -0.016154)","(-0.157117, -0.874416, 0.459033)","(0.041275, -0.90624, -0.420745)","(0.17289, -0.591042, -0.787895)",0
5.84,"(-0.00413693, 0.0290871, 1.22086e-05)","(-0.0357525, 0.977034, 0.210063)","(-0.151056, -0.897357, 0.414647)","(0.538344, -0.758347, -0.367553)","(0.380437, 0.330511, 0.86373)","(0.169231, -0.975916, 0.137652)","(0.0834202, -0.996427, -0.013169)","(-0.154279, -0.930623, 0.331871)","(0.0316246, -0.912208, -0.408505)","(0.164886, -0.594827, -0.786761)",0
5.88,"(-0.00255768, 0.0264446, 5.12218e-06)","(-0.0376049, 0.973862, 0.224007)","(-0.191208, -0.89782, 0.396684)","(0.535748, -0.772765, -0.340307)","(0.403356, 0.305742, 0.862453)","(0.142853, -0.975156, 0.169302)","(0.0915764, -0.99567, -0.0159583)","(-0.142734, -0.978032, 0.151926)","(0.0226407, -0.914536, -0.403871)","(0.157, -0.603966, -0.781393)",0
5.9,"(-0.00172504, 0.0229646, 3.88831e-06)","(-0.0418207, 0.970029, 0.239363)","(-0.233972, -0.90065, 0.366178)","(0.512935, -0.808373, -0.288844)","(0.459446, 0.239556, 0.855291)","(0.0629167, -0.960048, 0.272669)","(0.0918735, -0.99462, -0.0478504)","(-0.12515, -0.991427, -0.0375412)","(0.0234421, -0.898549, -0.438246)","(0.125235, -0.684118, -0.718539)",0
5.94,"(-0.000828826, 0.0188711, 4.11571e-06)","(-0.0424039, 0.96644, 0.253369)","(-0.28893, -0.90918, 0.299853)","(0.478516, -0.856708, -0.192547)","(0.525926, 0.0743709, 0.847273)","(-0.0891942, -0.900247, 0.426145)","(0.087129, -0.993095, -0.0785569)","(-0.110089, -0.990028, -0.0878953)","(0.0288392, -0.879166, -0.475642)","(0.078031, -0.748588, -0.658427)",0
5.98,"(0.000360095, 0.0145501, 4.31953e-06)","(-0.0398869, 0.962965, 0.266661)","(-0.363598, -0.921632, 0.135617)","(0.421206, -0.904164, -0.0712187)","(0.566423, -0.221663, 0.793745)","(-0.272999, -0.770116, 0.576536)","(0.0810314, -0.990915, -0.10734)","(-0.100404, -0.990663, -0.0922243)","(0.0371, -0.865139, -0.500158)","(0.0302585, -0.823077, -0.567124)",0
6,"(0.00192808, 0.0100683, 4.33676e-06)","(-0.0322155, 0.959837, 0.278703)","(-0.427779, -0.902649, -0.0472109)","(0.350763, -0.934715, 0.0572033)","(0.487013, -0.571512, 0.660448)","(-0.422337, -0.563633, 0.709893)","(0.0807033, -0.992152, -0.095504)","(-0.0950848, -0.993792, -0.0577667)","(0.0379326, -0.88316, -0.467536)","(-0.0108439, -0.863598, -0.504065)",0
6.04,"(0.00334936, 0.00729793, 4.61692e-06)","(-0.0195056, 0.959649, 0.280525)","(-0.472421, -0.857893, -0.202086)","(0.253775, -0.9491, 0.186568)","(0.305754, -0.802809, 0.511871)","(-0.505394, -0.313025, 0.804109)","(0.0746581, -0.995818, -0.0526514)","(-0.0930486, -0.995196, -0.0304397)","(0.0319772, -0.894107, -0.446711)","(-0.038506, -0.895051, -0.444297)",0
6.08,"(0.00480462, 0.00592026, 3.24247e-06)","(-0.00608044, 0.960482, 0.278275)","(-0.503434, -0.826135, -0.253091)","(0.157598, -0.939512, 0.304107)","(0.153225, -0.895859, 0.417084)","(-0.526374, -0.0713078, 0.847258)","(0.0667808, -0.997748, -0.00632028)","(-0.0915295, -0.995799, -0.00247835)","(0.0268637, -0.895178, -0.444899)","(-0.0644125, -0.898686, -0.433836)",0
6.1,"(0.00618607, 0.00765467, 2.66634e-06)","(0.00878633, 0.963473, 0.267662)","(-0.54069, -0.798702, -0.264063)","(0.0746501, -0.910739, 0.40618)","(0.0765958, -0.912305, 0.402284)","(-0.519313, 0.109184, 0.847581)","(0.0584491, -0.997719, 0.0337681)","(-0.0897095, -0.995536, 0.0293288)","(0.0257173, -0.872566, -0.487819)","(-0.0655784, -0.895997, -0.439192)",0
6.14,"(0.0072028, 0.0117242, 3.45549e-06)","(0.0175735, 0.969799, 0.243271)","(-0.584235, -0.767702, -0.263254)","(0.0233234, -0.892226, 0.450987)","(0.0517483, -0.919767, 0.389039)","(-0.507284, 0.215259, 0.834462)","(0.0738747, -0.990034, 0.119897)","(-0.0957092, -0.994071, 0.0516082)","(0.010359, -0.816332, -0.57749)","(-0.0639597, -0.90467, -0.421285)",0
6.18,"(0.00781717, 0.0180557, 4.2898e-06)","(0.0229565, 0.975613, 0.218296)","(-0.631325, -0.726166, -0.272235)","(-0.0101606, -0.877255, 0.479918)","(0.0300748, -0.930718, 0.364499)","(-0.497805, 0.301141, 0.813329)","(0.109432, -0.961587, 0.251743)","(-0.10667, -0.992247, 0.063774)","(-0.025727, -0.749464, -0.661545)","(-0.0638612, -0.927414, -0.368544)",0
