time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.001,"(0.0556056, -0.0312262, 2.6968e-05)","(-0.957845, 0.0422215, 0.284165)","(0.0529035, 0.998477, 0.0156625)","(-0.283497, 0.028084, -0.958562)","(-0.973098, 0.0452457, 0.225906)","(0.0529035, 0.998477, 0.0156625)","(-0.225191, 0.0261387, -0.973964)","(0.0529035, 0.998477, 0.0156625)","(0.326997, -0.768048, -0.550614)","(-0.516892, -0.636578, -0.572355)","(0, 0, 0)","(0.169224, 0.302307, -0.938069)","(0.379578, -0.892236, -0.244614)","(-0.569679, -0.804017, -0.170363)","(0.294263, -0.95361, 0.0635387)","(-0.264703, -0.95799, -0.110395)",0
1.03437,"(0.0556056, -0.0312262, 2.6968e-05)","(-0.986814, 0.0545992, 0.152373)","(0.0543964, 0.998488, -0.00798363)","(-0.152604, 0.000169626, -0.988287)","(-0.987819, 0.0548321, 0.145629)","(0.0543964, 0.998488, -0.00798363)","(-0.145864, -5.21376e-05, -0.989305)","(0.0543964, 0.998488, -0.00798363)","(0.325835, -0.763467, -0.557629)","(-0.56488, -0.585108, -0.581859)","(0, 0, 0)","(0.217836, 0.338926, -0.915247)","(0.396041, -0.890824, -0.222676)","(-0.565685, -0.81018, -0.15365)","(0.26897, -0.953024, 0.139288)","(-0.27798, -0.959715, -0.0409061)",0
1.06773,"(0.0556056, -0.0312262, 2.6968e-05)","(-0.993821, 0.0545544, 0.0966661)","(0.0535913, 0.99848, -0.0128827)","(-0.0972089, -0.00758371, -0.995235)","(-0.991127, 0.0547356, 0.121123)","(0.0535913, 0.99848, -0.0128827)","(-0.121631, -0.00624565, -0.992556)","(0.0535913, 0.99848, -0.0128827)","(0.358657, -0.770747, -0.526607)","(-0.60662, -0.582728, -0.540778)","(0, 0, 0)","(0, 0, 0)","(0.401725, -0.896639, -0.186159)","(-0.565807, -0.815877, -0.119195)","(0.265319, -0.952125, 0.151869)","(-0.282252, -0.959181, -0.0174568)",0
1.1011,"(0.0531628, -0.0294058, 4.10113e-05)","(-0.994577, 0.0549391, 0.0883105)","(0.0541685, 0.99847, -0.0111316)","(-0.0887642, -0.00628937, -0.996033)","(-0.993002, 0.0551205, 0.104447)","(0.0541685, 0.99847, -0.0111316)","(-0.104881, -0.00545479, -0.99447)","(0.0541685, 0.99847, -0.0111316)","(0.425859, -0.833309, -0.352476)","(-0.688621, -0.648813, -0.323795)","(0, 0, 0)","(-0.618666, -0.782041, -0.0752568)","(0.404556, -0.899718, -0.163835)","(-0.570275, -0.816616, -0.0890166)","(0.277009, -0.954668, 0.10897)","(-0.282527, -0.958545, -0.0370091)",0
1.13447,"(0.0507988, -0.0290638, 5.10959e-05)","(-0.997454, 0.0628557, 0.0336845)","(0.0620517, 0.998068, -0.00322322)","(-0.0337535, -0.00198795, -0.999428)","(-0.997125, 0.0629142, 0.0422308)","(0.0620517, 0.998068, -0.00322322)","(-0.042285, -0.0014844, -0.999104)","(0.0620517, 0.998068, -0.00322322)","(0.46948, -0.877814, -0.0950359)","(-0.721594, -0.688268, -0.0747649)","(0.632527, -0.771644, -0.0668991)","(-0.610736, -0.791759, -0.0109099)","(0.412143, -0.896742, -0.161221)","(-0.562817, -0.823328, -0.0732701)","(0.291438, -0.956292, 0.0238591)","(-0.291444, -0.950816, -0.104921)",0
1.16783,"(0.0472909, -0.0295071, 5.83094e-05)","(-0.993582, 0.0761363, -0.0836588)","(0.0751082, 0.997159, 0.00579501)","(0.0838082, -0.00216748, -0.99648)","(-0.994647, 0.0760542, -0.0699488)","(0.0751081, 0.997159, 0.00579502)","(0.0701546, -0.00091152, -0.997536)","(0.0751082, 0.997159, 0.00579502)","(0.434617, -0.888161, 0.149259)","(-0.721368, -0.678364, 0.139464)","(0.636566, -0.770224, 0.039234)","(-0.610403, -0.791942, -0.0153721)","(0.434036, -0.88064, -0.18996)","(-0.544465, -0.833828, -0.0910418)","(0.300705, -0.949928, -0.0849353)","(-0.302082, -0.937302, -0.173812)",0
1.2012,"(0.0423451, -0.0309788, 5.76408e-05)","(-0.969285, 0.0953459, -0.226705)","(0.0872826, 0.995596, 0.0342207)","(0.229288, 0.0118146, -0.973287)","(-0.980079, 0.0933515, -0.175303)","(0.0872826, 0.995596, 0.0342207)","(0.178063, 0.0174006, -0.983865)","(0.0872826, 0.995596, 0.0342207)","(0.363074, -0.921406, 0.13852)","(-0.714746, -0.670378, 0.199328)","(0.464739, -0.880381, 0.0945909)","(-0.442313, -0.896726, -0.0155764)","(0.411067, -0.878452, -0.24361)","(-0.497448, -0.859034, -0.120855)","(0.323987, -0.931101, -0.167582)","(-0.29661, -0.927686, -0.226763)",0
1.23457,"(0.0385397, -0.0318034, 4.56241e-05)","(-0.900744, 0.142871, -0.41018)","(0.103694, 0.990239, 0.0931367)","(0.420991, 0.032534, -0.906481)","(-0.943253, 0.134105, -0.303794)","(0.103694, 0.990239, 0.0931367)","(0.315184, 0.0515255, -0.947631)","(0.103694, 0.990239, 0.0931367)","(0.25835, -0.965781, 0.0228461)","(-0.684543, -0.698021, 0.210163)","(0.170895, -0.983493, -0.0594608)","(-0.18066, -0.981884, -0.0571462)","(0.400687, -0.868529, -0.291731)","(-0.445727, -0.875267, -0.18771)","(0.321414, -0.90858, -0.266788)","(-0.294066, -0.913811, -0.280133)",0
1.26793,"(0.0360896, -0.0314402, 3.51813e-05)","(-0.689764, 0.202828, -0.695044)","(0.112972, 0.981169, 0.156669)","(0.71293, 0.013316, -0.701109)","(-0.747736, 0.201831, -0.632579)","(0.112972, 0.981169, 0.156669)","(0.651444, 0.0276909, -0.758191)","(0.112972, 0.981169, 0.156669)","(-0.0750097, -0.995229, -0.0623856)","(-0.630686, -0.749727, 0.200363)","(-0.096115, -0.977206, -0.189291)","(-0.00831841, -0.999957, -0.00405997)","(0.415796, -0.876535, -0.242486)","(-0.407995, -0.889018, -0.207816)","(0.331575, -0.914145, -0.233229)","(-0.307072, -0.900356, -0.308328)",0
1.3013,"(0.0342643, -0.0301713, 2.27313e-05)","(-0.412054, 0.219215, -0.884396)","(0.115001, 0.975815, 0.185905)","(0.903884, -0.0239342, -0.427107)","(-0.447299, 0.220573, -0.866759)","(0.115001, 0.975815, 0.185905)","(0.886936, -0.0152754, -0.46164)","(0.115001, 0.975815, 0.185905)","(-0.350706, -0.935788, -0.0361469)","(-0.608715, -0.780598, 0.141891)","(-0.0888839, -0.941967, -0.323723)","(-0.0276342, -0.994981, 0.0961747)","(0.468565, -0.862042, -0.19321)","(-0.40143, -0.892475, -0.205775)","(0.334863, -0.920818, -0.199903)","(-0.32633, -0.88724, -0.326059)",0
