time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.9019,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.033866, 0.994409, 0.100024)","(-0.0140398, -0.923587, 0.383132)","(-0.153656, -0.890763, 0.427705)","(0.405948, -0.534619, 0.741208)","(-0.317352, -0.60475, 0.730456)","(0.0411437, -0.855067, 0.516883)","(-0.183131, -0.540982, 0.820854)","(0, 0, 0)","(0.164356, -0.269575, -0.94885)",0
1.93527,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0337631, 0.994884, 0.0952193)","(-0.0134095, -0.921728, 0.387604)","(-0.153703, -0.889305, 0.43071)","(0.405037, -0.535165, 0.741312)","(-0.318345, -0.60573, 0.729211)","(0.0375738, -0.851998, 0.522195)","(-0.178621, -0.510358, 0.841207)","(0, 0, 0)","(0.166347, -0.301356, -0.938889)",0
1.96863,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0335484, 0.995531, 0.08827)","(-0.01297, -0.918979, 0.394093)","(-0.153855, -0.887247, 0.434881)","(0.403033, -0.534902, 0.742593)","(-0.319478, -0.606579, 0.728008)","(0.0321789, -0.850276, 0.525352)","(-0.177586, -0.479915, 0.859154)","(0, 0, 0)","(0.168076, -0.335076, -0.927079)",0
2.002,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0333795, 0.996558, 0.0758801)","(-0.0132436, -0.914775, 0.403746)","(-0.153817, -0.885052, 0.439344)","(0.399877, -0.533952, 0.744979)","(-0.321055, -0.608268, 0.725902)","(0.0255096, -0.848226, 0.52902)","(-0.177872, -0.453344, 0.873408)","(0, 0, 0)","(0.171944, -0.361975, -0.916193)",0
2.03537,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0332156, 0.997342, 0.0648539)","(-0.0139748, -0.911768, 0.410469)","(-0.153855, -0.883929, 0.441586)","(0.397212, -0.533632, 0.746632)","(-0.322412, -0.609553, 0.724221)","(0.019419, -0.846291, 0.532367)","(-0.179937, -0.440909, 0.87933)","(0, 0, 0)","(0.176084, -0.371414, -0.911617)",0
2.06873,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.033068, 0.997968, 0.0544636)","(-0.0150027, -0.910291, 0.413697)","(-0.153959, -0.884014, 0.441379)","(0.396523, -0.535151, 0.745911)","(-0.323652, -0.611363, 0.722139)","(0.0162023, -0.844478, 0.535345)","(-0.183065, -0.439724, 0.879278)","(0, 0, 0)","(0.180242, -0.368399, -0.912028)",0
2.1021,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0328421, 0.998222, 0.0497359)","(-0.0155859, -0.910225, 0.413821)","(-0.154324, -0.884226, 0.440828)","(0.398235, -0.538562, 0.742537)","(-0.324064, -0.61206, 0.721363)","(0.015399, -0.842996, 0.5377)","(-0.18776, -0.447486, 0.874359)","(0, 0, 0)","(0.180789, -0.36001, -0.915264)",0
2.13547,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0324123, 0.998373, 0.0469212)","(-0.0157988, -0.912259, 0.409309)","(-0.154577, -0.884208, 0.440774)","(0.403501, -0.546358, 0.733948)","(-0.323771, -0.612268, 0.721319)","(0.0161374, -0.842694, 0.538151)","(-0.193924, -0.458706, 0.867169)","(0, 0, 0)","(0.181914, -0.353164, -0.917705)",0
2.16883,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0315989, 0.998467, 0.0454458)","(-0.0152431, -0.914334, 0.404674)","(-0.154116, -0.883002, 0.443346)","(0.409735, -0.554375, 0.724421)","(-0.32347, -0.611309, 0.722266)","(0.0169356, -0.843035, 0.537593)","(-0.200597, -0.470256, 0.85943)","(0, 0, 0)","(0.183392, -0.347055, -0.919739)",0
2.2022,"(-0.000562429, 0.00110471, 7.7925e-06)","(0.0307928, 0.998501, 0.0452391)","(-0.0145068, -0.916762, 0.399169)","(-0.153389, -0.881812, 0.445959)","(0.417374, -0.561032, 0.714872)","(-0.323511, -0.608364, 0.72473)","(0.0174, -0.843466, 0.536902)","(-0.204927, -0.483501, 0.851018)","(0, 0, 0)","(0.185062, -0.338228, -0.922688)",0
2.23557,"(0.000219035, -0.00126657, 2.63758e-05)","(0.0300195, 0.998053, 0.0546648)","(-0.0150271, -0.914278, 0.404808)","(-0.151732, -0.879059, 0.451921)","(0.418527, -0.552002, 0.7212)","(-0.32575, -0.599204, 0.731329)","(0.0101659, -0.833675, 0.552161)","(-0.187087, -0.490818, 0.850938)","(0, 0, 0)","(0.168813, -0.323635, -0.931001)",0
2.26893,"(0.000544405, -0.00451875, 2.58331e-05)","(0.0228658, 0.998997, 0.0385005)","(-0.0138506, -0.914952, 0.403324)","(-0.138612, -0.880974, 0.452406)","(0.428506, -0.528724, 0.732689)","(-0.332821, -0.570517, 0.750826)","(-0.000771542, -0.837425, 0.546552)","(-0.187218, -0.412256, 0.891624)","(0, 0, 0)","(0.173738, -0.368777, -0.913137)",0
2.3023,"(0.00108347, -0.00760384, 2.76468e-05)","(0.0139209, 0.999869, 0.00830352)","(-0.0750501, -0.917888, 0.389678)","(-0.10659, -0.899545, 0.423623)","(0.467291, -0.472874, 0.747014)","(-0.37348, -0.541778, 0.752987)","(-0.0112437, -0.842714, 0.538245)","(-0.203802, -0.317055, 0.926251)","(0, 0, 0)","(0.200342, -0.411787, -0.888985)",0
2.33567,"(0.00206846, -0.0104494, 2.96323e-05)","(0.00243556, 0.999577, -0.0289639)","(-0.189374, -0.90806, 0.373582)","(-0.0272072, -0.917948, 0.395766)","(0.55016, -0.395798, 0.735301)","(-0.436284, -0.50076, 0.747594)","(-0.0199802, -0.885413, 0.464376)","(-0.256463, -0.218706, 0.941485)","(0, 0, 0)","(0.264676, -0.461681, -0.846639)",0
2.36903,"(0.00351809, -0.0132221, 3.22003e-05)","(-0.00669757, 0.999279, -0.0373663)","(-0.336553, -0.866992, 0.3675)","(0.0905804, -0.918807, 0.384172)","(0.622855, -0.322445, 0.712798)","(-0.521015, -0.458727, 0.7198)","(-0.034539, -0.912885, 0.406753)","(-0.294966, -0.215038, 0.930996)","(0, 0, 0)","(0.321116, -0.458074, -0.828887)",0
2.4024,"(0.00351809, -0.0132221, 3.22003e-05)","(-0.0180116, 0.999435, -0.028395)","(-0.427026, -0.811699, 0.398488)","(0.206447, -0.887599, 0.411762)","(0.658902, -0.281688, 0.697495)","(-0.577935, -0.409157, 0.706103)","(-0.04959, -0.931257, 0.360972)","(-0.314805, -0.220053, 0.923296)","(0, 0, 0)","(0.342597, -0.460418, -0.818928)",0
2.43577,"(0.00628005, -0.0132074, 3.60985e-05)","(-0.029506, 0.999361, -0.0201779)","(-0.467568, -0.773145, 0.428517)","(0.288751, -0.854381, 0.432037)","(0.651616, -0.273655, 0.707467)","(-0.622308, -0.366319, 0.691768)","(-0.0608748, -0.93994, 0.335867)","(-0.318484, -0.231032, 0.919343)","(0, 0, 0)","(0.34512, -0.46279, -0.816528)",0
