time,root_position,root_right,root_up,root_forward,chest_right,chest_up,chest_forward,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.04,"(0.358597, 0.00639002, -3.41036e-05)","(0.840386, 0.0316302, -0.541064)","(-0.0125536, 0.999166, 0.038855)","(0.54188, -0.0258377, 0.840058)","(0.802087, 0.03348, -0.596268)","(-0.0125536, 0.999166, 0.038855)","(0.597107, -0.0234717, 0.801818)","(-0.0125536, 0.999166, 0.038855)","(-0.194941, -0.913124, 0.358055)","(0.386342, -0.919702, 0.0699078)","(0.867121, 0.147906, 0.47563)","(0.637018, 0.369202, 0.676682)","(0.123323, -0.990703, -0.0574348)","(-0.102842, -0.992, 0.0732155)","(-0.226577, -0.8126, -0.536977)","(-0.0725576, -0.96879, -0.237028)",0
1.08,"(0.363228, 0.00792407, -3.42066e-05)","(0.842381, 0.0281476, -0.538147)","(-0.0120432, 0.99937, 0.0333966)","(0.538752, -0.0216486, 0.842186)","(0.818526, 0.0290707, -0.573734)","(-0.0120432, 0.99937, 0.0333966)","(0.574347, -0.0204219, 0.818357)","(-0.0120432, 0.99937, 0.0333966)","(-0.300101, -0.899062, 0.31879)","(0.279861, -0.956607, 0.0811215)","(0.855287, 0.0561305, 0.515106)","(0.632036, 0.332654, 0.699909)","(0.14562, -0.986993, -0.0681083)","(-0.115599, -0.991128, 0.065598)","(-0.188553, -0.856112, -0.481165)","(-0.105862, -0.965862, -0.236441)",0
1.1,"(0.367622, 0.00814184, -3.30335e-05)","(0.847346, 0.0273094, -0.530338)","(-0.0134303, 0.999461, 0.0299663)","(0.530875, -0.0182655, 0.847254)","(0.839977, 0.0276342, -0.541918)","(-0.0134303, 0.999461, 0.0299663)","(0.542458, -0.0178825, 0.839893)","(-0.0134303, 0.999461, 0.0299663)","(-0.357985, -0.892715, 0.27369)","(0.260644, -0.962603, 0.0738949)","(0.847087, -0.0297266, 0.530622)","(0.616749, 0.30401, 0.726084)","(0.144279, -0.986898, -0.0722225)","(-0.116659, -0.991641, 0.0551213)","(-0.136874, -0.907321, -0.397535)","(-0.12616, -0.963513, -0.236063)",0
1.14,"(0.371131, 0.00749376, -3.22728e-05)","(0.852741, 0.0306188, -0.521436)","(-0.0154994, 0.999324, 0.0333349)","(0.522115, -0.0203741, 0.852631)","(0.861478, 0.03029, -0.50689)","(-0.0154994, 0.999324, 0.0333349)","(0.50757, -0.0209524, 0.861356)","(-0.0154994, 0.999324, 0.0333349)","(-0.375813, -0.892468, 0.249529)","(0.258933, -0.962646, 0.0791648)","(0.830815, -0.0801645, 0.550745)","(0.565703, 0.292539, 0.770974)","(0.124114, -0.98984, -0.069372)","(-0.113794, -0.992141, 0.0520226)","(-0.124621, -0.928508, -0.349776)","(-0.134967, -0.961166, -0.240716)",0
1.18,"(0.373782, 0.00620668, -2.87278e-05)","(0.858071, 0.0338631, -0.512414)","(-0.0177844, 0.999182, 0.0363243)","(0.513252, -0.0220937, 0.857953)","(0.881453, 0.0326887, -0.471139)","(-0.0177844, 0.999182, 0.0363243)","(0.471971, -0.023759, 0.881294)","(-0.0177844, 0.999182, 0.0363243)","(-0.385485, -0.894202, 0.227607)","(0.249895, -0.963813, 0.09283)","(0.814089, -0.129364, 0.566148)","(0.505648, 0.280914, 0.815725)","(0.0886914, -0.993806, -0.0669533)","(-0.112635, -0.992599, 0.045396)","(-0.0983692, -0.940102, -0.326392)","(-0.145349, -0.952837, -0.266413)",0
1.2,"(0.376539, 0.00405939, -2.43454e-05)","(0.860789, 0.0395813, -0.507421)","(-0.019846, 0.998823, 0.0442495)","(0.508585, -0.0280204, 0.860556)","(0.89033, 0.0377715, -0.453747)","(-0.019846, 0.998823, 0.0442495)","(0.454895, -0.03041, 0.890026)","(-0.019846, 0.998823, 0.0442495)","(-0.363741, -0.903422, 0.226981)","(0.229342, -0.965343, 0.124557)","(0.808892, -0.140166, 0.571005)","(0.45805, 0.270393, 0.846805)","(0.0490553, -0.996218, -0.07171)","(-0.108277, -0.993243, 0.0417663)","(-0.071626, -0.938293, -0.338342)","(-0.154061, -0.94009, -0.304133)",0
1.24,"(0.378484, 0.00179954, -2.08876e-05)","(0.863001, 0.0484374, -0.502875)","(-0.0205506, 0.997922, 0.0610713)","(0.504937, -0.0424245, 0.862113)","(0.89828, 0.0448774, -0.437126)","(-0.0205506, 0.997922, 0.0610713)","(0.4391, -0.0460444, 0.897258)","(-0.0205506, 0.997922, 0.0610713)","(-0.330097, -0.904119, 0.271301)","(0.225658, -0.955666, 0.189161)","(0.813116, -0.110509, 0.571515)","(0.433416, 0.269191, 0.86005)","(0.0266902, -0.998126, -0.0550722)","(-0.0661759, -0.996861, 0.0434532)","(-0.0547995, -0.935053, -0.350246)","(-0.182199, -0.918304, -0.351455)",0
1.28,"(0.379972, -0.000668967, -1.88085e-05)","(0.866212, 0.0567822, -0.496441)","(-0.0197109, 0.996607, 0.079908)","(0.499461, -0.0594969, 0.864291)","(0.905204, 0.0513402, -0.421865)","(-0.019711, 0.996607, 0.079908)","(0.424689, -0.0641679, 0.903062)","(-0.0197109, 0.996607, 0.079908)","(-0.296859, -0.899539, 0.320476)","(0.231503, -0.941725, 0.244048)","(0.81826, -0.0718123, 0.570345)","(0.417567, 0.274648, 0.866145)","(0.0192728, -0.999382, -0.029384)","(-0.0111381, -0.998502, 0.0535695)","(-0.0499917, -0.932763, -0.357007)","(-0.210106, -0.89547, -0.392415)",0
1.3,"(0.381492, -0.00303642, -1.8063e-05)","(0.868294, 0.0661238, -0.491622)","(-0.0186284, 0.994722, 0.100901)","(0.495731, -0.0784511, 0.864926)","(0.906196, 0.0595532, -0.418644)","(-0.0186284, 0.994722, 0.100901)","(0.42247, -0.0835861, 0.902514)","(-0.0186284, 0.994722, 0.100901)","(-0.239565, -0.886781, 0.395257)","(0.280106, -0.915348, 0.289273)","(0.820222, 0.00889852, 0.571976)","(0.404843, 0.296068, 0.865128)","(0.0227252, -0.999554, 0.0193538)","(0.0946764, -0.989909, 0.105434)","(-0.081209, -0.932547, -0.351797)","(-0.261263, -0.855588, -0.446891)",0
1.34,"(0.383629, -0.00460558, -2.02062e-05)","(0.867042, 0.0724554, -0.492938)","(-0.0169448, 0.993101, 0.116029)","(0.49801, -0.0922107, 0.862255)","(0.898161, 0.0664032, -0.434623)","(-0.0169448, 0.993101, 0.116029)","(0.439388, -0.096722, 0.893075)","(-0.0169448, 0.993101, 0.116029)","(-0.128704, -0.868501, 0.478687)","(0.391644, -0.851173, 0.349456)","(0.811278, 0.106985, 0.574789)","(0.41961, 0.320354, 0.849294)","(0.0231232, -0.99769, 0.0638696)","(0.201177, -0.968523, 0.146598)","(-0.118777, -0.936754, -0.329218)","(-0.259164, -0.82491, -0.502352)",0
