time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.2,"(-0.00375699, 0.00476789, -8.96538e-05)","(-0.19978, 0.97485, 0.0987736)","(-0.128589, -0.953417, -0.272874)","(0.853212, -0.519208, 0.0495182)","(0, 0, 0)","(-0.675669, -0.696902, 0.240415)","(-0.628367, -0.701098, 0.33707)","(-0.283251, -0.879321, 0.382837)","(0, 0, 0)","(0, 0, 0)",0
1.23333,"(-0.00399846, 0.00703495, -9.7329e-05)","(-0.202181, 0.973913, 0.103035)","(-0.142069, -0.947728, -0.285706)","(0.851541, -0.521019, 0.0584585)","(0, 0, 0)","(-0.664546, -0.689445, 0.288174)","(-0.63895, -0.688567, 0.342955)","(-0.299881, -0.888976, 0.346112)","(0, 0, 0)","(0, 0, 0)",0
1.26667,"(-0.00376995, 0.00931382, -0.000104134)","(-0.204225, 0.97343, 0.103565)","(-0.14185, -0.948832, -0.282127)","(0.838734, -0.536736, 0.091866)","(0, 0, 0)","(-0.650073, -0.671689, 0.355301)","(-0.638621, -0.692926, 0.33469)","(-0.339917, -0.886857, 0.312956)","(0, 0, 0)","(0, 0, 0)",0
1.3,"(-0.00330228, 0.0116901, -0.000108081)","(-0.205799, 0.973122, 0.103347)","(-0.137715, -0.950746, -0.277699)","(0.825118, -0.552777, 0.116694)","(0, 0, 0)","(-0.637164, -0.653478, 0.408643)","(-0.631486, -0.704142, 0.324667)","(-0.385529, -0.874883, 0.293168)","(0, 0, 0)","(0, 0, 0)",0
1.33333,"(-0.00334002, 0.0144258, -0.000108646)","(-0.207341, 0.972391, 0.107081)","(-0.13739, -0.951469, -0.275374)","(0.813739, -0.567352, 0.12626)","(0, 0, 0)","(-0.625224, -0.637688, 0.449943)","(-0.622296, -0.715858, 0.316694)","(-0.393, -0.877621, 0.274467)","(0, 0, 0)","(0, 0, 0)",0
1.36667,"(-0.00393229, 0.0173433, -0.00010537)","(-0.20635, 0.972533, 0.1077)","(-0.135441, -0.95057, -0.279414)","(0.812576, -0.570379, 0.119952)","(0, 0, 0)","(-0.605273, -0.632577, 0.483209)","(-0.613565, -0.722177, 0.319372)","(-0.352883, -0.899361, 0.258113)","(0, 0, 0)","(0, 0, 0)",0
1.4,"(-0.00486047, 0.0197766, -0.000102162)","(-0.202445, 0.972916, 0.111579)","(-0.133854, -0.948644, -0.286632)","(0.808888, -0.574487, 0.125164)","(0, 0, 0)","(-0.576466, -0.623786, 0.527805)","(-0.601898, -0.727413, 0.329529)","(-0.290076, -0.926421, 0.240001)","(0, 0, 0)","(0, 0, 0)",0
1.43333,"(-0.00642787, 0.0221434, -0.000100758)","(-0.197792, 0.973961, 0.110809)","(-0.126532, -0.948433, -0.290628)","(0.809214, -0.575294, 0.119199)","(0, 0, 0)","(-0.562432, -0.63683, 0.527369)","(-0.590998, -0.724718, 0.354266)","(-0.237492, -0.946972, 0.216428)","(0, 0, 0)","(0, 0, 0)",0
1.46667,"(-0.00832044, 0.0244856, -0.000102464)","(-0.193419, 0.974599, 0.112902)","(-0.115628, -0.946996, -0.299714)","(0.816627, -0.567824, 0.103421)","(0, 0, 0)","(-0.562358, -0.654434, 0.50544)","(-0.577129, -0.713301, 0.397647)","(-0.192353, -0.961974, 0.193923)","(0, 0, 0)","(0, 0, 0)",0
1.5,"(-0.0100753, 0.026812, -0.000102773)","(-0.191168, 0.975281, 0.110823)","(-0.0965594, -0.946733, -0.307203)","(0.829387, -0.555033, 0.0636876)","(0, 0, 0)","(-0.567911, -0.689747, 0.449139)","(-0.569661, -0.696565, 0.436214)","(-0.17166, -0.969712, 0.173754)","(0, 0, 0)","(0, 0, 0)",0
1.53333,"(-0.0115081, 0.0288667, -0.000105092)","(-0.187618, 0.976445, 0.106555)","(-0.0679229, -0.942107, -0.328361)","(0.840233, -0.540823, 0.0389692)","(0, 0, 0)","(-0.569828, -0.711133, 0.411809)","(-0.564908, -0.677834, 0.470553)","(-0.167356, -0.970922, 0.171179)","(0, 0, 0)","(0, 0, 0)",0
1.56667,"(-0.0128302, 0.0315028, -0.000105602)","(-0.183462, 0.978374, 0.0955286)","(-0.029341, -0.937107, -0.347806)","(0.849184, -0.527987, 0.0107864)","(0, 0, 0)","(-0.573812, -0.73776, 0.355598)","(-0.573008, -0.668864, 0.473585)","(-0.181949, -0.96736, 0.176376)","(0, 0, 0)","(0, 0, 0)",0
1.6,"(-0.0136735, 0.0343806, -0.000105847)","(-0.179965, 0.979929, 0.0857416)","(-0.0061153, -0.933318, -0.358999)","(0.852315, -0.523007, 0.00478072)","(0, 0, 0)","(-0.581206, -0.747588, 0.32142)","(-0.599258, -0.686055, 0.412574)","(-0.254051, -0.939495, 0.229799)","(0, 0, 0)","(0, 0, 0)",0
1.63333,"(-0.0142866, 0.0375094, -0.000106026)","(-0.177357, 0.980986, 0.0788138)","(0.000277908, -0.933511, -0.358548)","(0.853042, -0.52176, 0.00925606)","(0, 0, 0)","(-0.584113, -0.747069, 0.317333)","(-0.618395, -0.701554, 0.354132)","(-0.308315, -0.913163, 0.266598)","(0, 0, 0)","(0, 0, 0)",0
1.66667,"(-0.014896, 0.040469, -0.000108025)","(-0.176548, 0.980864, 0.0820788)","(-0.0115475, -0.937059, -0.34898)","(0.851994, -0.523132, 0.0209749)","(0, 0, 0)","(-0.586156, -0.732043, 0.347179)","(-0.635864, -0.70981, 0.303063)","(-0.358984, -0.886911, 0.290721)","(0, 0, 0)","(0, 0, 0)",0
1.7,"(-0.0156709, 0.0439282, -0.000108113)","(-0.17429, 0.98055, 0.0902524)","(-0.0172943, -0.937151, -0.348494)","(0.853473, -0.520234, 0.0306693)","(0, 0, 0)","(-0.584565, -0.716281, 0.381084)","(-0.633826, -0.69293, 0.343675)","(-0.346649, -0.904664, 0.247826)","(0, 0, 0)","(0, 0, 0)",0
1.73333,"(-0.0166144, 0.0469604, -0.000108639)","(-0.170481, 0.980176, 0.100949)","(-0.0232281, -0.939119, -0.342806)","(0.852443, -0.521377, 0.0388232)","(0, 0, 0)","(-0.582107, -0.69966, 0.414279)","(-0.641535, -0.67136, 0.371091)","(-0.342135, -0.917925, 0.200889)","(0, 0, 0)","(0, 0, 0)",0
1.76667,"(-0.0176273, 0.050068, -0.000105954)","(-0.165243, 0.979529, 0.114968)","(-0.031338, -0.937136, -0.347555)","(0.851037, -0.523785, 0.0372221)","(0, 0, 0)","(-0.586914, -0.690835, 0.422231)","(-0.651081, -0.648785, 0.393918)","(-0.333332, -0.931035, 0.148535)","(0, 0, 0)","(0, 0, 0)",0
1.8,"(-0.0189299, 0.0533939, -0.000102428)","(-0.159592, 0.978707, 0.129084)","(-0.042666, -0.936006, -0.34939)","(0.850761, -0.523303, 0.0485856)","(0, 0, 0)","(-0.596822, -0.678136, 0.428877)","(-0.671372, -0.627937, 0.393643)","(-0.325902, -0.93839, 0.114943)","(0, 0, 0)","(0, 0, 0)",0
1.83333,"(-0.0200442, 0.056583, -9.91661e-05)","(-0.154098, 0.977264, 0.145635)","(-0.0583318, -0.933889, -0.352774)","(0.854535, -0.516906, 0.0507701)","(-0.0270871, -0.917783, 0.396158)","(-0.61274, -0.674591, 0.411676)","(-0.69341, -0.594153, 0.407633)","(-0.31603, -0.943772, 0.0970517)","(0, 0, 0)","(0, 0, 0)",0
1.86667,"(-0.0207967, 0.059925, -9.60892e-05)","(-0.150797, 0.976818, 0.151942)","(-0.0740362, -0.935008, -0.346813)","(0.858229, -0.509513, 0.0619725)","(-0.0342613, -0.921842, 0.386049)","(-0.622636, -0.671775, 0.401301)","(-0.711577, -0.561082, 0.422901)","(-0.307617, -0.946832, 0.0942389)","(0, 0, 0)","(0, 0, 0)",0
1.9,"(-0.0214383, 0.0632669, -9.31263e-05)","(-0.150935, 0.976388, 0.154548)","(-0.0868663, -0.938018, -0.335525)","(0.862178, -0.502779, 0.0621462)","(-0.0383524, -0.924519, 0.379202)","(-0.626886, -0.675964, 0.387411)","(-0.723515, -0.535805, 0.435246)","(-0.30171, -0.948378, 0.0977217)","(0, 0, 0)","(0, 0, 0)",0
1.93333,"(-0.0215654, 0.0665478, -9.48379e-05)","(-0.15334, 0.976498, 0.151455)","(-0.098077, -0.940187, -0.326235)","(0.864245, -0.498384, 0.0685109)","(-0.0523874, -0.928088, 0.368658)","(-0.623071, -0.677385, 0.391065)","(-0.710766, -0.543375, 0.446716)","(-0.298961, -0.948725, 0.102678)","(0, 0, 0)","(0, 0, 0)",0
1.96667,"(-0.0211129, 0.0697502, -9.79917e-05)","(-0.156769, 0.975962, 0.151401)","(-0.10664, -0.93977, -0.324745)","(0.865789, -0.496279, 0.0641608)","(-0.060548, -0.927736, 0.368294)","(-0.623719, -0.68768, 0.371579)","(-0.663326, -0.581186, 0.471404)","(-0.312757, -0.943743, 0.10739)","(0, 0, 0)","(0, 0, 0)",0
2,"(-0.0204087, 0.0734515, -9.90259e-05)","(-0.160408, 0.975482, 0.150676)","(-0.113838, -0.938711, -0.325364)","(0.865839, -0.49775, 0.0506725)","(-0.0639466, -0.926247, 0.371453)","(-0.629899, -0.702701, 0.330815)","(-0.536557, -0.673278, 0.508727)","(-0.399834, -0.910424, 0.10612)","(0, 0, 0)","(0, 0, 0)",0
2.03333,"(-0.0196664, 0.0769385, -0.00010121)","(-0.166968, 0.975485, 0.143354)","(-0.11818, -0.940577, -0.318353)","(0.864723, -0.500861, 0.0373119)","(-0.0643683, -0.924533, 0.375626)","(-0.632405, -0.721248, 0.282603)","(-0.376209, -0.787224, 0.488615)","(-0.542664, -0.828346, 0.139133)","(0, 0, 0)","(0, 0, 0)",0
2.06667,"(-0.0187287, 0.0807498, -0.00010279)","(-0.17416, 0.975685, 0.133069)","(-0.119811, -0.944707, -0.305243)","(0.86303, -0.503956, 0.0347636)","(-0.0619309, -0.923431, 0.378733)","(-0.624952, -0.735255, 0.262364)","(-0.246382, -0.867817, 0.431498)","(-0.673088, -0.719184, 0.172416)","(0, 0, 0)","(0, 0, 0)",0
2.1,"(-0.0180133, 0.084448, -9.99408e-05)","(-0.181616, 0.97611, 0.11927)","(-0.118593, -0.949784, -0.289563)","(0.861546, -0.506269, 0.0378121)","(-0.06026, -0.921801, 0.382951)","(-0.611409, -0.749435, 0.254021)","(-0.220781, -0.898441, 0.379552)","(-0.736216, -0.638442, 0.22445)","(0, 0, 0)","(0, 0, 0)",0
2.13333,"(-0.0178416, 0.0883632, -9.67266e-05)","(-0.188221, 0.975938, 0.110079)","(-0.109827, -0.953954, -0.279122)","(0.860496, -0.507443, 0.0452674)","(-0.054647, -0.921592, 0.384295)","(-0.601099, -0.755988, 0.259155)","(-0.247167, -0.893676, 0.374503)","(-0.761127, -0.601746, 0.24205)","(0, 0, 0)","(0, 0, 0)",0
2.16667,"(-0.0176582, 0.0918923, -9.54216e-05)","(-0.193093, 0.975286, 0.10739)","(-0.100539, -0.957974, -0.268657)","(0.859596, -0.508511, 0.0501087)","(-0.0537973, -0.922099, 0.383195)","(-0.595732, -0.759664, 0.260794)","(-0.275076, -0.878183, 0.391316)","(-0.756796, -0.601027, 0.256956)","(0, 0, 0)","(0, 0, 0)",0
2.2,"(-0.0174606, 0.0954067, -9.45406e-05)","(-0.198851, 0.973922, 0.10924)","(-0.0903975, -0.961979, -0.257731)","(0.858885, -0.509038, 0.0565451)","(-0.0556288, -0.922594, 0.381741)","(-0.59224, -0.755696, 0.279598)","(-0.297471, -0.867752, 0.398142)","(-0.747482, -0.613155, 0.255561)","(0, 0, 0)","(0, 0, 0)",0
2.23333,"(-0.0174774, 0.0988214, -9.27677e-05)","(-0.204366, 0.972266, 0.113725)","(-0.081186, -0.965253, -0.248386)","(0.858508, -0.509324, 0.0596099)","(-0.0704403, -0.921717, 0.381412)","(-0.586803, -0.74853, 0.308813)","(-0.315528, -0.861544, 0.397724)","(-0.729638, -0.636489, 0.250021)","(0, 0, 0)","(0, 0, 0)",0
2.26667,"(-0.0176148, 0.102302, -9.17463e-05)","(-0.209672, 0.97045, 0.119437)","(-0.0726548, -0.96581, -0.248863)","(0.857766, -0.510228, 0.0624858)","(-0.0866209, -0.919788, 0.382737)","(-0.580635, -0.737255, 0.345424)","(-0.319672, -0.862225, 0.392908)","(-0.723785, -0.646446, 0.241334)","(0, 0, 0)","(0, 0, 0)",0
2.3,"(-0.0175784, 0.105212, -9.0838e-05)","(-0.212425, 0.968998, 0.12617)","(-0.0660295, -0.964178, -0.256906)","(0.857025, -0.511186, 0.0647929)","(-0.104446, -0.918235, 0.382016)","(-0.574773, -0.727847, 0.373998)","(-0.317639, -0.864191, 0.390229)","(-0.716105, -0.657986, 0.232913)","(0, 0, 0)","(0, 0, 0)",0
2.33333,"(-0.0179308, 0.107768, -9.09245e-05)","(-0.212946, 0.967844, 0.133911)","(-0.0615576, -0.96134, -0.268395)","(0.85659, -0.511563, 0.0675072)","(-0.112011, -0.916878, 0.383129)","(-0.573225, -0.720524, 0.390204)","(-0.309785, -0.856433, 0.412984)","(-0.657047, -0.715944, 0.236037)","(0, 0, 0)","(0, 0, 0)",0
2.36667,"(-0.0185904, 0.110043, -9.04588e-05)","(-0.213271, 0.967326, 0.137099)","(-0.0581624, -0.960163, -0.27332)","(0.857989, -0.508907, 0.069769)","(-0.121093, -0.916036, 0.382379)","(-0.57716, -0.713863, 0.396592)","(-0.305018, -0.838245, 0.452007)","(-0.570924, -0.786261, 0.236302)","(0, 0, 0)","(0, 0, 0)",0
2.4,"(-0.0194042, 0.112348, -9.1693e-05)","(-0.213676, 0.966925, 0.139279)","(-0.056343, -0.958824, -0.278355)","(0.859489, -0.506299, 0.0702853)","(-0.130837, -0.914577, 0.382662)","(-0.583563, -0.709061, 0.395837)","(-0.295917, -0.814564, 0.498917)","(-0.486122, -0.841399, 0.236078)","(0, 0, 0)","(0, 0, 0)",0
