time,root_position,neck,shoulder_l,shoulder_r,elbow_l,elbow_r,hip_l,hip_r,knee_l,knee_r,is_pattern
1.43477,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0366346, 0.917411, 0.39625)","(-0.21046, -0.950653, -0.227958)","(0.0993503, -0.959647, -0.263074)","(0.107272, -0.95044, 0.291816)","(0.179751, -0.919924, 0.348467)","(0.108316, -0.993818, 0.0243785)","(-0.178647, -0.983892, 0.00649245)","(-0.0521803, -0.966575, -0.251019)","(-0.0353017, -0.959181, -0.280582)",0
1.46813,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0344825, 0.916881, 0.397668)","(-0.211123, -0.950488, -0.228034)","(0.0973751, -0.960134, -0.262031)","(0.109154, -0.950317, 0.29152)","(0.179382, -0.920305, 0.347652)","(0.108138, -0.993835, 0.0244681)","(-0.179144, -0.983778, 0.00936556)","(-0.0529549, -0.965934, -0.253311)","(-0.0349007, -0.959826, -0.278417)",0
1.5015,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0324024, 0.916127, 0.399576)","(-0.209906, -0.951518, -0.224841)","(0.0960756, -0.961033, -0.259201)","(0.111653, -0.949913, 0.291887)","(0.179065, -0.921163, 0.345535)","(0.109736, -0.993663, 0.0243246)","(-0.181348, -0.983335, 0.012827)","(-0.0543839, -0.965453, -0.254839)","(-0.0399566, -0.961387, -0.272283)",0
1.53487,"(5.97954e-05, 0.00620027, 4.1989e-06)","(-0.0304002, 0.915122, 0.402028)","(-0.208767, -0.953278, -0.218352)","(0.0953434, -0.962202, -0.255101)","(0.113409, -0.948922, 0.294424)","(0.178677, -0.922324, 0.342628)","(0.112541, -0.993406, 0.0218874)","(-0.186298, -0.982341, 0.0172894)","(-0.0565384, -0.965051, -0.255889)","(-0.0527188, -0.963582, -0.262164)",0
1.56823,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.028942, 0.914036, 0.4046)","(-0.208028, -0.955329, -0.209931)","(0.0947773, -0.963082, -0.251973)","(0.112662, -0.947902, 0.297976)","(0.178513, -0.922963, 0.340986)","(0.11617, -0.99302, 0.0203693)","(-0.192886, -0.980981, 0.0216967)","(-0.0596905, -0.964775, -0.256214)","(-0.0722049, -0.964123, -0.255449)",0
1.6016,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.0279544, 0.911638, 0.410043)","(-0.209274, -0.956304, -0.204176)","(0.0944018, -0.963195, -0.251681)","(0.111017, -0.946311, 0.303596)","(0.178471, -0.923714, 0.338971)","(0.119054, -0.992712, 0.0186927)","(-0.199362, -0.979566, 0.0265671)","(-0.0624585, -0.964416, -0.256905)","(-0.0942868, -0.962662, -0.253757)",0
1.63497,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.0272128, 0.908766, 0.416417)","(-0.210904, -0.956588, -0.201145)","(0.0942895, -0.962984, -0.25253)","(0.10886, -0.945628, 0.306493)","(0.178458, -0.924988, 0.335484)","(0.121154, -0.992485, 0.0171602)","(-0.204303, -0.978418, 0.030966)","(-0.0651657, -0.964028, -0.257687)","(-0.106562, -0.961411, -0.253639)",0
1.66833,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.0266912, 0.906347, 0.421691)","(-0.212732, -0.956294, -0.200615)","(0.0943139, -0.962774, -0.253321)","(0.10737, -0.945275, 0.308103)","(0.178641, -0.926263, 0.331849)","(0.12213, -0.992408, 0.01453)","(-0.20906, -0.977314, 0.0339176)","(-0.0666842, -0.963668, -0.258645)","(-0.110967, -0.961259, -0.252323)",0
1.7017,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.0262476, 0.905442, 0.423657)","(-0.214232, -0.955931, -0.200751)","(0.0945069, -0.963088, -0.252053)","(0.106169, -0.945782, 0.306959)","(0.178993, -0.927165, 0.329131)","(0.122506, -0.992406, 0.0110372)","(-0.212963, -0.976419, 0.0353844)","(-0.06728, -0.963346, -0.259687)","(-0.108917, -0.961954, -0.250564)",0
1.73507,"(0.00179538, 0.00726506, -7.81412e-07)","(-0.0258051, 0.904933, 0.424771)","(-0.21644, -0.954849, -0.203514)","(0.0941797, -0.963218, -0.251678)","(0.106202, -0.946024, 0.306202)","(0.178983, -0.927118, 0.329268)","(0.122066, -0.992504, 0.00590756)","(-0.21537, -0.975866, 0.0360699)","(-0.0666799, -0.962746, -0.262059)","(-0.107528, -0.962149, -0.250416)",0
